en,kin,phrase,categ,verified,prefs,prefpl,sanotek,sanopl,cumbi,modif,kinSing,kinPl,enSing,enPl,simplP,pastP,syn,context,situation,author,revised,updated
I am able to swim.,Nshobora koga.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
able,(to be able=gushobora; kubasha),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
about,kwerekera,0,verb,1,,,n,n,erekera,erekeye,NOT APPLICABLE,NOT APPLICABLE,,,about,about,,,,217,0,1000000
account,konti,0,noun,1,,,n,n,konti,konti,konti,konti,account,accounts,,,,,,6000,1,1000000
acid,sharira,0,verbadj,1,,,n,n,sharira,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
across,hakurya,0,adverb,1,,,n,n,hakurya,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
act,igikorwa,0,noun,1,i,i,ki,bi,korwa,korwa,igikorwa,ibikorwa,act,acts,,,"action,deed",,,6000,1,1000000
addition,iteranya,0,noun,1,i,a,ri,ma,teranya,teranya,iteranya,amateranya,addition,additions,,,,,,6000,1,1000000
adjustment,ugutunganya,0,noun,1,u,u,gu,gu,tunganya,tunganya,ugutunganya,ugutunganya,adjustment,adjustments,,,adaptation,,,6000,1,1000000
advertisement,iyamamaza,0,noun,1,i,i,ri,ri,amamaza,amamaza,iyamamaza,iyamamaza,advertisement,adertisements,,,,,,6000,1,1000000
after,nyuma,0,adverb,1,,,,,,,,,,,,,,,,6000,1,1000000
again,ubuntu,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
against,(to be against=kurwanya),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
agreement,ubwumvikane,0,noun,1,u,u,bu,bu,umvikane,umvikane,ubwumvikane,ubwumvikane,agreement,agreements,,,,,,6000,1,1000000
air,umwuka,0,noun,1,u,i,mu,mi,uka,uka,umwuka,imyuka,air,airs,,,,,,6000,1,1000000
all,ose,0,verbadj,1,,,n,n,ose,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
almost,hafi,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
among,muri,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
amount,ingano,0,noun,1,i,i,n,n,gano,gano,ingano,ingano,amount,amounts,,,,,,6000,1,1000000
amusement,umukino,0,noun,1,u,i,mu,mi,kino,kino,umukino,imikino,amusement,amusements,,,,,,6000,1,1000000
angry,arakaye,0,verbadj,1,,,n,n,arakaye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
angle,imfuruka,0,noun,1,i,i,n,n,pfuruka,pfuruka,imfuruka,imfuruka,angle,angles,,,,,,6000,1,1000000
animal,inyamaswa :: inyamaswa,0,noun,1,i,i,n,n,nyamaswa,,inyamaswa,inyamaswa,animal,animals,,,beast,,,6000,1,1000000
answer,igisubizo,0,noun,1,i,i,gi,bi,subizo,subizo,igisubizo,ibisubizo,answer,answers,,,,,,6000,1,1000000
ant,urutozi (pl= intozi),0,noun,1,u,i,ru,n,tozi,,urutozi,intozi,ant,ants,,,,,,6000,1,1000000
any,(-),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
apple,itunda,0,noun,1,i,a,ri,ma,tunda,tunda,itunda,amatunda,apple,apples,,,,,,6000,1,1000000
approval,ukwemeza; ukwemezwa,0,noun,1,u,i,ru,n,husa,husa,uruhusa,impusa,approval,approvals,,,,,,6000,1,1000000
arch,ikitabashwa :: ibitabashwa,0,noun,1,,,gi,bi,tabashwa,,igitabashwa,ibitabashwa,arch,arches,,,,,,217,0,1000000
argument,impaka,0,noun,1,i,i,n,n,haka,paka,impaka,impaka,argument,argument,,,,,,6000,0,1000000
arm,ukuboko :: amaboko,0,noun,1,u,a,ku,ma,boko,,ukuboko,amaboko,arm,arms,,,"leg,hand",,,6000,1,1000000
army,igitero :: ibitero,0,noun,1,i,i,ki,bi,tero,,igitero,ibitero,army,armies,,,soldier,,,6000,1,1000000
attack,gusatira,0,verb,1,,,n,n,satira,satiriye,NOT APPLICABLE,NOT APPLICABLE,,,attacked,attacked,,,,217,0,1000000
attempt,kugerageza,0,verb,1,,,,,gerageza,gerageje,NOT APPLICABLE,NOT APPLICABLE,,,attempted,attempted,try,,,6000,0,1000000
attention,ubushishozi,0,noun,1,u,u,bu,bu,shishozi,shishozi,ubushishozi,ubushishozi,attention,attentiveness,,,,,,6000,1,1000000
distraction,ibirangaza,0,noun,1,i,i,bi,bi,rangaza,rangaza,ibirangaza,ibirangaza,distraction,distractions,,,,,,6000,1,1000000
authority,"ububasha (...ubutegetsi,ubuyobozi)",0,noun,1,u,u,bu,bu,tegetsi,tegetsi,ubutegetsi,ubuyobozi,authority,authorities,,,,,,6000,1,1000000
automatic,ikora,0,verbadj,1,,,n,n,ikora,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
baby,uruhinja,0,noun,1,u,i,ru,n,hinja,hinja,uruhinja,impinja,baby,babies,,,,,,6000,1,1000000
back,umugongo :: imigongo,0,noun,1,,,mu,mi,gongo,,umugongo,imigongo,back,backs,,,,,,6000,0,1000000
bag,umufuka :: imifuka,0,noun,1,,,mu,mi,fuka,,umufuka,imifuka,bag,bags,,,"sack,pocket,purse",,,6000,0,1000000
balance,umunzani,0,noun,1,u,i,mu,mi,nzani,nzani,umunzani,iminzani,balance,balance,,,,,,6000,1,1000000
ball,umupira,0,noun,1,u,i,mu,mi,pira,pira,umupira,imipira,ball,balls,,,,,,6000,1,1000000
band,agatsiko,0,noun,1,a,u,ka,tu,tsiko,tsiko,agatsiko,udutsiko,band,bands,,,,,,6000,1,1000000
basis,ifatizo,0,noun,1,i,a,ri,ma,fatizo,fatizo,ifatizo,amafatizo,basis,bases,,,,,,6000,1,1000000
basin,ibesani :: amabesani,0,noun,1,,,n,ma,besani,,ibesani,amabesani,basin,basins,,,,,,6000,0,1000000
basket,urushundura,0,noun,1,u,i,ru,n,shundura,shundura,urushundura,inshundura,basket,baskets,,,,,,6000,1,1000000
be,kuba,0,verb,1,,,n,n,ba,baye,NOT APPLICABLE,NOT APPLICABLE,,,were,been,,,,217,0,1000000
bed,uburiri :: uburiri,0,noun,1,,,bu,bu,riri,,uburiri,uburiri,bed,beds,,,,,,241,0,1000000
bee,uruyuki (pl.=inzuki),0,noun,1,u,i,ru,n,yuki,zuki,uruyuki,inzuki,bee,bees,,,,,,6000,1,1000000
before,mbere,0,adverb,1,,,,,mbere,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,6000,0,1000000
behaviour,imyifatire,0,noun,1,i,i,mi,mi,ifatire,ifatire,imyifatire,imyifatire,behaviour,behaviours,,,,,,6000,1,1000000
belief,kwizera,0,noun,1,u,u,ku,ku,izera,izera,ukwizera,ukwizera,belief,believes,,,,,,6000,1,1000000
bell,inzogera,0,noun,1,i,i,n,n,yogera,yogera,inzogera,inzogera,bell,bells,,,,,,6000,1,1000000
bend,guhina,0,verb,1,,,n,n,hina,hinnye,NOT APPLICABLE,NOT APPLICABLE,,,bent,bent,,,,217,0,1000000
berry,urukeri,0,noun,1,u,i,ru,n,keri,,urukeri,inkeri,berry,berries,,,,,,6000,1,1000000
between,hagati,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
tutorial,icyigisho :: ibyigisho,0,noun,1,i,i,ki,bi,igisho,,icyigisho,ibyigisho,tutorial,tutorials,,,,,,217,0,1000000
birth,ivuka,0,noun,1,i,a,ri,ma,vuka,,ivuka,amavuka,birth,births,,,,,,6000,1,1000000
bit,gato,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
bite,kuruma,0,verb,1,,,ku,,ruma,rumye,,,,,bit,bitten,,,,6000,1,1000000
bitter,shaririye,0,verbadj,1,,,n,n,shaririye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
blade,akarimi,0,noun,1,a,u,ka,tu,rimi,rimi,akarimi,uturimi,blade,blades,,,,,,6000,1,1000000
blood,amaraso,0,noun,1,a,a,ma,ma,raso,,amaraso,amaraso,blood,bloods,,,,,,6000,1,1000000
blow,guhuha,0,verb,1,,,ku,,huha,hushye,,,,,blew,blown,,,,6000,1,1000000
board,urubaho :: imbaho,0,noun,1,,,ru,m,baho,,urubaho,imbaho,board,board,,,slate,,,6000,0,1000000
boat,ubwato,0,noun,1,u,a,bu,ma,ato,,ubwato,amato,boat,boats,,,,,,6000,1,1000000
body,umubiri :: imibiri,0,noun,1,,,mu,mi,biri,,umubiri,imibiri,body,bodies,,,,,,6000,0,1000000
boil,kubira; gucamuka,0,verb,1,,,ku,,canira,caniriye,,,,,boiled,boiled,,,,6000,1,1000000
bone,igufwa :: amagufwa,0,noun,1,,,ri,ma,gufwa,,igufwa,amagufwa,bone,bones,,,meat,,,6000,0,1000000
book,igitabo (pl.= ibitabo),0,noun,1,i,i,ki,bi,tabo,,igitabo,ibitabo,book,books,,,,,,6000,1,1000000
boot,gutangira,0,verb,1,,,ku,,shitura,shituye,,,,,booted,booted,,,,6000,1,1000000
bottle,icupa :: amacupa,0,noun,1,,,ri,ma,cupa,,icupa,amacupa,bottle,bottles,,,gourd,,,6000,0,1000000
box,agasanduku (pl.= udusanduku),0,noun,1,a,u,ka,tu,sanduku,,agasanduku,udusanduku,box,boxes,,,,,,6000,1,1000000
boy,umuhungu :: abahungu,0,noun,1,,,mu,ba,hungu,,umuhungu,abahungu,boy,boys,,,son,,,1901,0,1000000
brain,ubwonko,0,noun,1,u,u,bu,bu,onko,,ubwonko,ubwonko,brain,brains,,,,,,6000,1,1000000
branch,ishami (pl.= amashami),0,noun,1,i,a,ri,ma,shami,,ishami,amashami,branch,branches,,,,,,6000,1,1000000
brass,umuringa :: imiringa,0,noun,1,,,mu,mi,ringa,,umuringa,imiringa,brass,brasses,,,,,,241,0,1000000
bread,umugati :: imigati,0,noun,1,,,mu,mi,gati,,umugati,imigati,bread,bread,,,cake,,,6000,0,1000000
breath,impumeko,0,noun,1,i,i,n,n,humeko,,impumeko,impumeko,breath,breathes,,,,,,6000,1,1000000
brick,itafari (pl.= amatafari),0,noun,1,i,a,ri,ma,tafari,,itafari,amatafari,brick,bricks,,,,,,6000,1,1000000
bridge,iteme,0,noun,1,i,a,ri,ma,teme,,iteme,amateme,bridge,bridges,,,,,,6000,1,1000000
bright,bengerana,0,verbadj,1,,,n,n,bengerana,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
break,kumena,0,verb,1,,,n,n,mena,mennye,NOT APPLICABLE,NOT APPLICABLE,,,broke,broken,,,,217,0,1000000
brother,umuvandimwe,0,noun,1,u,a,mu,ba,vandimwe,,umuvandimwe,abavandimwe,brother,brothers,,,,,,6000,1,1000000
brown,ibihogo,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
brush,"uburoso (N); gukuba (to brush, V)",0,noun,1,u,u,bu,bu,roso,,uburoso,uburoso,brush,brushes,,,,,,6000,1,1000000
bucket,indobo :: indobo,0,noun,1,,,n,n,dobo,,indobo,indobo,bucket,buckets,,,pail,,,6000,0,1000000
building,inyubako,0,noun,1,i,i,n,n,ubako,,inyubako,inyubako,building,buildings,,,,,,6000,1,1000000
bulb,agapfundo,0,noun,1,a,u,ka,tu,pfundo,,agapfundo,udupfundo,bulb,bulbs,,,,,,6000,1,1000000
burn,gutwika,0,verb,1,,,ku,,twika,twitse,,,,,burnt,burnt,,,,6000,1,1000000
burst,gusandara,0,verb,1,,,ku,,sandara,sandaye,,,,,bursted,bursted,,,,6000,1,1000000
business,imirimo,0,noun,1,i,i,mi,mi,rimo,,imirimo,imirimo,business,business,,,,,,6000,1,1000000
butter,ikimuri,0,noun,1,i,i,ki,bi,muri,,ikimuri,ibimuri,butter,butters,,,,,,6000,1,1000000
button,buto,0,noun,1,,,n,n,buto,,buto,buto,button,buttons,,,,,,6000,1,1000000
by,na,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
cake,umugati,0,noun,1,u,i,mu,mi,gati,,umugati,imigati,cake,cakes,,,,,,6000,1,1000000
camera,camera,0,noun,1,,,n,n,kamera,,kamera,za kamera,camera,cameras,,,,,,6000,1,1000000
card,ikarita,0,noun,1,i,a,n,ma,karita,,ikarita,amakarita,card,cards,,,,,,6000,1,1000000
carriage,agatete,0,noun,1,a,u,ka,tu,tete,,agatete,udutete,carriage,carriages,,,,,,6000,1,1000000
cart,ingorofani,0,noun,1,i,i,n,n,gorofani,,ingorofani,ingorofani,cart,carts,,,,,,6000,1,1000000
cat,injangwe,0,noun,1,i,i,n,n,jangwe,,injangwe,injangwe,cat,cats,,,,,,6000,1,1000000
cause,impamvu,0,noun,1,i,i,n,n,hamvu,,impamvu,impamvu,cause,causes,,,,,,6000,1,1000000
chain,uruhererekane,0,noun,1,u,i,mu,mi,nyururu,,umunyururu,umunyururu,chain,chains,,,,,,6000,1,1000000
chalk,INGWA,0,noun,1,i,i,n,n,gwa,,ingwa,ingwa,chalk,chalks,,,,,,6000,0,1000000
chance,amahirwe,0,noun,1,i,a,ri,ma,hirwe,,ihirwe,amahirwe,chance,chances,,,,,,6000,1,1000000
cheap,hendutse,0,verbadj,1,,,n,n,hendutse,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
chest,agatuza,0,noun,1,a,u,ka,tu,tuza,,agatuza,udutuza,chest,chests,,,,,,6000,1,1000000
chief,umutware,0,noun,1,u,a,mu,ba,tware,,umutware,abatware,chief,chieves,,,,,,6000,1,1000000
chin,akananwa,0,noun,1,a,u,ka,tu,ananwa,,akananwa,utwananwa,chin,chins,,,,,,6000,1,1000000
church,urusengero,0,noun,1,u,i,ru,n,sengero,,urusengero,insengero,church,churches,,,,,,6000,1,1000000
circle,uruziga,0,noun,1,u,i,ru,n,ziga,,uruziga,inziga,circle,circles,,,,,,6000,1,1000000
clear,garagara,0,verbadj,1,,,n,n,garagara,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
clock,isaha,0,noun,1,i,a,n,ma,saha,,isaha,amasaha,clock,clocks,,,,,,6000,1,1000000
cloth,imyenda,0,noun,1,u,i,mu,mi,enda,,umwenda,imyenda,cloth,clothes,,,,,,6000,1,1000000
cloud,igicu :: ibicu,0,noun,1,,,ki,bi,cu,,igicu,ibicu,cloud,clouds,,,sky,,,6000,0,1000000
coal,amakara,0,noun,1,a,a,ma,ma,kara,,amakara,amakara,coal,coal,,,,,,6000,1,1000000
coat,ikoti,0,noun,1,i,a,ri,ma,koti,,ikoti,amakoti,coat,coats,,,,,,6000,1,1000000
cold,imbeho :: imbeho,0,noun,1,,,m,m,beho,,imbeho,imbeho,cold,cold,,,,,,6000,0,1000000
collar,ikora,0,noun,1,i,a,ri,ma,kora,,ikora,amakora,collar,collars,,,,,,6000,1,1000000
colour,ibara,0,noun,1,i,a,ri,ma,bara,,ibara,amabara,color,colors,,,,,,6000,1,1000000
comb,igisokozo,0,noun,1,i,i,ki,bi,sokozo,,igisokozo,ibisokozo,comb,combs,,,,,,6000,1,1000000
come,kuza,0,verb,1,,,,,za,je,NOT APPLICABLE,NOT APPLICABLE,,,came,come,approach,,,217,0,1000000
comfort,umudabagiro,0,noun,1,u,i,mu,mi,dabagiro,,umudabagiro,imidabagiro,comfort,comforts,,,,,,6000,1,1000000
committee,komite,0,noun,1,,,n,n,komite,,komite,za komite,committee,committees,,,,,,6000,1,1000000
common,sanzwe,0,verbadj,1,,,n,n,sanzwe,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
company,umushinga,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
comparison,igereranya,0,noun,1,i,a,ri,ma,gereranya,,igereranya,amagereranya,comparison,comparisons,,,,,,6000,1,1000000
competition,irushanwa,0,noun,1,i,a,ri,ma,rushanwa,,irushanwa,amarushanwa,competition,competitions,,,,,,6000,1,1000000
complete,uzuye,0,verbadj,1,,,n,n,uzuye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
condition,ibisabwa,0,noun,1,i,i,ki,bi,sabwa,,igisabwa,ibisabwa,condition,conditions,,,,,,6000,1,1000000
connection,umuyoboro,0,noun,1,u,i,mu,mi,yoboro,,umuyoboro,imiyoboro,connection,connections,,,,,,6000,1,1000000
conscious,tekereza neza,0,verbadj,1,,,n,n,tekereza neza,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
control,ububasha; ubugenzuzi,0,noun,1,u,u,bu,bu,genzuzi,,ubugenzuzi,ubugenzuzi,control,control,,,,,,6000,1,1000000
cook,guteka,0,verb,1,,,ku,,teka,tetse,,,,,cooked,cooked,,,,6000,1,1000000
cord,umugozi :: imigozi,0,noun,1,,,mu,mi,gozi,,umugozi,imigozi,cord,cords,,,"string,rope",,,6000,0,1000000
cork,umufuniko,0,noun,1,a,u,ka,tu,funiko,,agapfundikizo,udupfundikizo,cork,corks,,,,,,6000,1,1000000
cotton,ipamba,0,noun,1,i,a,n,ma,pamba,,ipamba,amapamba,cotton,cottons,,,,,,6000,1,1000000
country,igihugu :: ibihugu,0,noun,1,,,gi,bi,hugu,,igihugu,ibihugu,country,countries,,,nation,,,6000,0,1000000
cover,igifuniko,0,noun,1,i,i,ki,bi,funiko,,igifuniko,ibifuniko,cover,covers,,,,,,6000,1,1000000
crack,gusaduka,0,verb,1,,,ku,,saduka,sadutse,,,,,cracked,cracked,,,,6000,1,1000000
credit,ishema,0,noun,1,u,u,bu,bu,ite,,ubwite,ubwite,credit,credits,,,,,,6000,1,1000000
crime,icyaha :: ibyaha,0,noun,1,,,ki,bi,aha,,icyaha,ibyaha,crime,crimes,,,transgression,,,6000,0,1000000
cruel,umugome,0,noun,1,u,a,mu,ba,gome,,umugome,abagome,cruel,cruels,,,,,,6000,1,1000000
crush,"kumena, kumenagura",0,verb,1,,,ku,,menagura,menaguye,,,,,crushed,crushed,,,,6000,1,1000000
cup,igikombe,0,noun,1,i,i,ki,bi,kombe,,igikombe,ibikombe,cup,cups,,,,,,6000,1,1000000
current,gezweho,0,verbadj,1,,,n,n,gezweho,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
curtain,umuheshasoni,0,noun,1,u,i,mu,mi,heshasoni,,umuheshazoni,imiheshasoni,curtain,curtains,,,,,,6000,1,1000000
curve,ikoni (pl.= amakoni),0,noun,1,i,a,ri,ma,koni,,ikoni,amakoni,curve,curves,,,,,,6000,1,1000000
cushion,ikintu kinepa,0,noun,1,i,i,ki,bi,,,ikintu kinepa,ibintu binepa,cushion,cushions,,,,,,6000,1,1000000
damage,kwangiza,0,verb,1,,,,,angiza,angije,NOT APPLICABLE,NOT APPLICABLE,,,damaged,damaged,"waste,denature,devastate",,,6000,0,1000000
danger,icyago :: ibyago,0,noun,1,,,ki,bi,ago,,icyago,ibyago,danger,accident,,,"danger, trouble",,,6000,0,1000000
dark,ijimye,0,verbadj,1,,,n,n,ijimye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
daughter,umukobwa :: abakobwa,0,noun,1,,,mu,ba,kobwa,,umukobwa,abakobwa,daughter,daughters,,,girl,,,1901,0,1000000
day,umunsi (pl.= iminsi),0,noun,1,u,i,mu,mi,nsi,,umunsi,iminsi,day,days,,,,,,6000,1,1000000
dead,apfuye,0,verbadj,1,,,n,n,apfuye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
dear,Shenge,0,noun,1,,,mu,ba,,,Shenge,Shenge,Dear,dear,,,,,,6000,1,1000000
death,urupfu,0,noun,1,u,i,ru,n,pfu,,urupfu,imfu,death,deaths,,,,,,6000,1,1000000
debt,ideni :: amadeni,0,noun,1,,,ri,ma,deni,,ideni,amadeni,debt,debt,,,"credit,borrow,lend,money,capital",,,6000,0,1000000
decision,icyemezo :: ibyemezo,0,noun,1,,,ki,bi,emezo,,icyemezo,ibyemezo,decision,decisions,,,final word,,,6000,0,1000000
deep,kirekire (pl. birebire);,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
delicate,oroshye,0,verbadj,1,,,n,n,oroshye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
design,gukora,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
destruction,gusenyuka,0,noun,1,i,i,ri,ri,senyuka,,isenyuka,isenyuka,destruction,destruction,,,,,,6000,1,1000000
detail,ibisobanuro,0,noun,1,i,i,bi,bi,sobanuro,,ibisobanuro,ibisobanuro,detail,details,,,,,,6000,1,1000000
different,tandikanye,0,verbadj,1,,,n,n,tandukanye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
direction,icyerekezo :: ibyerekezo,0,noun,1,,,ki,bi,erekezo,,icyerekezo,ibyerekezo,direction,directions,,,,,,6000,0,1000000
dirty,anduye,0,verbadj,1,,,n,n,anduye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
discovery,ubuvumbuzi,0,noun,1,u,u,bu,bu,shakashatsi,,ubushakashatsi,ubushakashatsi,discovery,discoveries,,,,,,6000,1,1000000
discussion,impaka :: impaka,0,noun,1,i,i,m,m,paka,,impaka,impaka,discussion,discussions,,,argument,,,217,0,1000000
disease,impindwara,0,noun,1,i,i,n,n,rwara,,indwara,indwara,disease,diseases,,,,,,6000,1,1000000
disgust,ishozi,0,verb,1,,,ku,,tera ishozi,teye ishozi,,,,,disgusted,disgusted,,,,6000,1,1000000
distance,intera,0,gennounral,1,i,i,n,n,tera,,intera,intera,distance,distances,,,,,,6000,1,1000000
distribution,imigabano,0,noun,1,i,i,ri,ri,tangwa,,itangwa,itangwa,distribution,distributions,,,,,,6000,1,1000000
division,igabanya,0,noun,1,i,i,ki,bi,iciro,,icyiciro,ibyiciro,division,divisions,,,,,,6000,1,1000000
dog,imbwa :: imbwa,0,noun,1,,,m,m,bwa,,imbwa,imbwa,dog,dogs,,,puppy,,,6000,0,1000000
affection,ubwuzu :: ubwuzu,0,noun,0,u,u,bu,bu,uzu,,ubwuzu,ubwuzu,affection,affection,,,,,,2487,0,1351731447
doubt,gushidikanya,0,verb,1,,,ku,,shidikanya,shidikanyije,,,,,doubted,doubted,,,,6000,1,1000000
down,hasi,0,adverb,1,,,,,,,,,,,,,,,,6000,1,1000000
drain,kugomorora; gukamya,0,verb,1,,,ku,,kamya,kamije,,,,,drained,drained,,,,6000,1,1000000
drawer,akabati,0,noun,1,a,u,ka,tu,bati,,akabati,utubati,drawer,drawers,,,,,,6000,1,1000000
dress,kwambika,0,verb,1,,,,,ambika,ambitse,NOT APPLICABLE,NOT APPLICABLE,,,dressed,dressed,to put clothes on someone,,,6000,0,1000000
drink,kunywa,0,verb,1,,,,,nywa,nyoye,NOT APPLICABLE,NOT APPLICABLE,,,drunk,drunk,,,,217,0,1000000
drop,igitonyanga,0,noun,1,i,i,ki,bi,tonyanga,,igitonyanga,ibitonyanga,drop,drops,,,,,,6000,1,1000000
dust,umukungugu,0,noun,1,u,i,mu,mi,kungugu,,umukungugu,imikungugu,dust,dusts,,,,,,6000,1,1000000
ear,ugutwi (pl.= amatwi),0,noun,1,u,a,ku,ma,twi,,ugutwi,amatwi,ear,ears,,,,,,6000,1,1000000
early,kare,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
earth,isi,0,noun,1,i,a,n,ma,si,,isi,amazi,earth,earths,,,,,,6000,1,1000000
east,i burasirazuba,0,noun,1,u,u,bu,bu,rasirazuba,,uburasirazuba,,east,,,,,,,6000,1,1000000
edge,impera,0,noun,1,i,i,n,n,hera,,impera,impera,edge,edges,,,,,,6000,1,1000000
education,uburezi,0,noun,1,u,u,bu,bu,rezi,,uburezi,,education,,,,,,,6000,1,1000000
effect,ingaruka,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
egg,igi :: amagi,0,noun,1,,,ri,ma,gi,,igi,amagi,egg,eggs,,,chicken,,,6000,0,1000000
elastic,gi-kweduka (bi-kweduka),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
electric,(by')cy'amashanyarazi,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
end,iherezo,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
engine,moteri,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
enough,hagije,0,verbadj,1,,,n,n,hagije,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
equal,bingana,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
error,ikosa (pl. = amakosa),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
even,na,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
event,"ikiroli, igikorwa",0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
ever,nibura,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
every,buri,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
example,urugero :: ingero,0,noun,1,,,ru,n,gero,,urugero,ingero,example,examples,,,measure,,,6000,0,1000000
exchange,ingurane; igurana,0,noun,1,i,i,ri,ri,gurana,,igurana,igurana,exchange,exchange,,,,,,6000,1,1000000
existence,ukubaho,0,noun,1,u,u,ku,ku,baho,,ukubaho,,existence,,,,,,,6000,1,1000000
expansion,ubwaguke,0,noun,1,u,u,bu,bu,aguke,,ubwaguke,ubwaguke,expansion,expansion,,,,,,6000,1,1000000
experience,uburambe ku kazi,0,noun,1,u,u,bu,bu,rambe ku kazi,,uburambe ku kazi,uburambe ku kazi,experience,experience,,,,,,6000,1,1000000
expert,inzobere,0,noun,1,i,i,n,n,zobere,,inzobere,inzobere,expert,experts,,,,,,6000,1,1000000
eye,ijisho (pl.= amaso),0,noun,1,i,a,ri,ma,iso,,ijisho,amaso,eye,eyes,,,,,,6000,1,1000000
face,uruhanga,0,noun,1,u,i,ru,n,hanga,,uruhanga,impanga,face,faces,,,,,,6000,1,1000000
fall,kugwa,0,verb,1,,,ku,,gwa,guye,,,,,fell,fallen,,,,6000,1,1000000
FALSE,kitari cyo,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
family,umuryango :: imiryango,0,noun,1,,,mu,mi,ryango,,umuryango,imiryango,family,families,,,relatives,,,6000,0,1000000
far,kure,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
farm,icyanya,0,noun,1,i,i,ki,bi,anya,,icyanya,ibyanya,,,,,,,,6000,1,1000000
fat,ibinure (N),0,noun,1,i,i,bi,bi,nure,,ibinure,fat,fat,,,,,,,6000,1,1000000
father,data (= my father),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
feather,ibaba,0,noun,1,i,a,ri,ma,baba,,ibaba,amababa,feather,feathers,,,,,,6000,1,1000000
feeble,dakomeye,0,verbadj,1,,,n,n,dakomeye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
feeling,ibyiyumviro,0,noun,1,i,i,bi,bi,iyumviro,,ibyiyumviro,ibyiyumviro,feeling,feelings,,,,,,6000,1,1000000
female,gore,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
fertile,rumbuka,0,verbadj,1,,,n,n,rumbuka,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
fiction,amakabyankuru,0,noun,1,a,a,ma,ma,kabyankuru,,amakabyankuru,amakabyankuru,,,,,,,,6000,1,1000000
field,umurima :: imirima,0,noun,1,,,mu,mi,rima,,umurima,imirima,field,fields,,,garden,,,241,0,1000000
fight,kurwana (V); imirwano (N.),0,verb,1,,,ku,,rwana,rwanye,,,,,fought,fought,,,,6000,1,1000000
finger,urutoki (pl.= intoki),0,noun,1,u,i,ru,n,toki,,urutoki,intoki,finger,fingers,,,,,,6000,1,1000000
fire,umuriro :: umuriro,0,noun,1,,,mu,mu,riro,,umuriro,umuriro,fire,fire,,,,,,241,0,1000000
