id,nat,kin,prefix,root,modifier,en,context,pronunciation,voiceLink,closeSuggestions,verified,author
42,not set,kubabarira,ku,babarira,#NAME?,to forgive,not set,not set,not set,NULL,0,1
43,not set,kubabarirwa,ku,babarirwa,#NAME?,to be forgiven,not set,not set,not set,NULL,0,1
44,not set,kubabaza,ku,babaza,#NAME?,"to hurt, offend, cause suffering",not set,not set,not set,NULL,0,1
45,not set,kubaduka,ku,baduka,#NAME?,to arise quickly,not set,not set,not set,NULL,0,1
46,not set,kubaga,ku,baga,#NAME?,"to butcher, operate on, remove skin",not set,not set,not set,NULL,0,1
47,not set,kubagana,ku,bagana,#NAME?,"to fight to the death, inflict serious wounds",not set,not set,not set,NULL,0,1
48,not set,kubagara,ku,bagara,#NAME?,to weed,not set,not set,not set,NULL,0,1
49,not set,kubagarwa,ku,bagarwa,#NAME?,to be weeded,not set,not set,not set,NULL,0,1
50,not set,kubagwa,ku,bagwa,#NAME?,"to be butchered, operated on",not set,not set,not set,NULL,0,1
51,not set,kubamba,ku,bamba,#NAME?,"to stretch out to dry, crucify",not set,not set,not set,NULL,0,1
52,not set,kubambura,ku,bambura,#NAME?,to remove a hide from the pegs after drying,not set,not set,not set,NULL,0,1
53,not set,kubana,ku,bana,#NAME?,to live together,not set,not set,not set,NULL,0,1
54,not set,kubangikanya,ku,bangikanya,#NAME?,"to be parallel, facing the same direction",not set,not set,not set,NULL,0,1
55,not set,kubanguka,ku,banguka,#NAME?,"to hurry, go quickly, rush",not set,not set,not set,NULL,0,1
56,not set,kubanza,ku,banza,#NAME?,to begin by,not set,not set,not set,NULL,0,1
57,not set,kubanziriza,ku,banziriza,#NAME?,to precede,not set,not set,not set,NULL,0,1
58,not set,kubanzwa,ku,banzwa,#NAME?,to be begun by,not set,not set,not set,NULL,0,1
59,not set,kubara,ku,bara,#NAME?,to count,not set,not set,not set,NULL,0,1
60,not set,kubarura,ku,barura,#NAME?,to make statistics,not set,not set,not set,NULL,0,1
61,not set,kubarwa,ku,barwa,#NAME?,to be counted,not set,not set,not set,NULL,0,1
62,not set,kubasha,ku,basha,#NAME?,"to be able, capable, have the power",not set,not set,not set,NULL,0,1
63,not set,kubatiza,ku,batiza,#NAME?,to baptise,not set,not set,not set,NULL,0,1
64,not set,kubatizwa,ku,batizwa,#NAME?,to be baptised,not set,not set,not set,NULL,0,1
65,not set,kubaza,ku,baza,#NAME?,"to ask, enquire, query",not set,not set,not set,NULL,0,1
66,not set,kubengerana,ku,bengerana,#NAME?,"to shine, gleam",not set,not set,not set,NULL,0,1
67,not set,kubera,ku,bera,#NAME?,to be unjust,not set,not set,not set,NULL,0,1
68,not set,kuberama,ku,berama,#NAME?,"to tilt, slope",not set,not set,not set,NULL,0,1
69,not set,kuberekera,ku,berekera,#NAME?,to pass after others have moved aside,not set,not set,not set,NULL,0,1
70,not set,kuberereka,ku,berereka,#NAME?,to move aside to allow passage,not set,not set,not set,NULL,0,1
71,not set,kuberwa,ku,berwa,#NAME?,"to fit, be well fitting, be well dressed, be smart",not set,not set,not set,NULL,0,1
72,not set,kubeshya,ku,beshya,#NAME?,"to lie, deceive",not set,not set,not set,NULL,0,1
73,not set,kubeshyabeshya,ku,beshyabeshya,#NAME?,to amuse or fool a child,not set,not set,not set,NULL,0,1
74,not set,kubeshyera,ku,beshyera,#NAME?,"to falsely accuse, lie about someone",not set,not set,not set,NULL,0,1
75,not set,kubiba,ku,biba,#NAME?,"to plant, sow",not set,not set,not set,NULL,0,1
76,not set,kubiha,ku,biha,#NAME?,"to be bad tasting, foul tasting",not set,not set,not set,NULL,0,1
77,not set,kubika,ku,bika,#NAME?,to crow,not set,not set,not set,NULL,0,1
78,not set,kubira,ku,bira,#NAME?,to be boiling,not set,not set,not set,NULL,0,1
79,not set,kubirindura,ku,birindura,#NAME?,to roll along,not set,not set,not set,NULL,0,1
80,not set,kubisa,ku,bisa,#NAME?,to move aside to allow passage,not set,not set,not set,NULL,0,1
81,not set,kubisikana,ku,bisikana,#NAME?,"to cross another's path, bypass",not set,not set,not set,NULL,0,1
82,not set,kubiza,ku,biza,#NAME?,to boil,not set,not set,not set,NULL,0,1
83,not set,kubobera,ku,bobera,#NAME?,"to be soft, wet",not set,not set,not set,NULL,0,1
84,not set,kubobeza,ku,bobeza,#NAME?,"to make soft, wet",not set,not set,not set,NULL,0,1
85,not set,kuboha,ku,boha,#NAME?,"to bind, tie, weave, knit",not set,not set,not set,NULL,0,1
86,not set,kubohekanya,ku,bohekanya,#NAME?,"to braid, twist",not set,not set,not set,NULL,0,1
87,not set,kubohora,ku,bohora,#NAME?,"to release, liberate",not set,not set,not set,NULL,0,1
88,not set,kubona,ku,bona,#NAME?,"to see, find, get",not set,not set,not set,NULL,0,1
89,not set,kubonana,ku,bonana,#NAME?,"to see each other, find each other",not set,not set,not set,NULL,0,1
90,not set,kuboneka,ku,boneka,#NAME?,"to be visible, appear, show up, be available",not set,not set,not set,NULL,0,1
91,not set,kubonera,ku,bonera,#NAME?,"to see at (for the first time), meet at, find at",not set,not set,not set,NULL,0,1
92,not set,kuboneza,ku,boneza,#NAME?,"to make clean, visible, pure",not set,not set,not set,NULL,0,1
93,not set,kubonwa,ku,bonwa,#NAME?,to be seen,not set,not set,not set,NULL,0,1
94,not set,kubora,ku,bora,#NAME?,"to rot, decay",not set,not set,not set,NULL,0,1
95,not set,kuboroga,ku,boroga,#NAME?,"to howl, wail",not set,not set,not set,NULL,0,1
96,not set,kubuguza,ku,buguza,#NAME?,to play the board game {igisoro},not set,not set,not set,NULL,0,1
97,not set,kubumba,ku,bumba,#NAME?,"to make bricks, pottery, mould clay",not set,not set,not set,NULL,0,1
98,not set,kubumbira,ku,bumbira,#NAME?,to make bricks for someone else,not set,not set,not set,NULL,0,1
99,not set,kubunga,ku,bunga,#NAME?,to wander,not set,not set,not set,NULL,0,1
100,not set,kubunguka,ku,bunguka,#NAME?,to return from wandering,not set,not set,not set,NULL,0,1
101,not set,kubunza,ku,bunza,#NAME?,to go from place to place selling something,not set,not set,not set,NULL,0,1
102,not set,kubura,ku,bura,#NAME?,"to lack, lose, not find",not set,not set,not set,NULL,0,1
103,not set,kuburana,ku,burana,#NAME?,to defend oneself in response to accusation,not set,not set,not set,NULL,0,1
104,not set,kuburira,ku,burira,#NAME?,to lose something at,not set,not set,not set,NULL,0,1
105,not set,kubuyera,ku,buyera,#NAME?,"to wander about, be a vagabond",not set,not set,not set,NULL,0,1
106,not set,kubuyereza,ku,buyereza,#NAME?,to cause someone to wander about,not set,not set,not set,NULL,0,1
107,not set,kubuza,ku,buza,#NAME?,"to forbid, prevent, stop",not set,not set,not set,NULL,0,1
108,not set,kubuzwa,ku,buzwa,#NAME?,to be forbidden,not set,not set,not set,NULL,0,1
109,not set,kubwagura,ku,bwagura,#NAME?,to give birth,not set,not set,not set,NULL,0,1
110,not set,kubwegeka,ku,bwegeka,#NAME?,to be pregnant,not set,not set,not set,NULL,0,1
111,not set,kubwira,ku,bwira,#NAME?,to tell,not set,not set,not set,NULL,0,1
112,not set,kubwiriza,ku,bwiriza,#NAME?,"to preach, incite",not set,not set,not set,NULL,0,1
113,not set,kubyara,ku,byara,#NAME?,"to give birth, deliver",not set,not set,not set,NULL,0,1
114,not set,kubyaza,ku,byaza,#NAME?,to cause to give birth,not set,not set,not set,NULL,0,1
115,not set,kubyibuha,ku,byibuha,#NAME?,"to gain weight, become heavier",not set,not set,not set,NULL,0,1
116,not set,kubyiga,ku,byiga,#NAME?,to be squashing someone with one's body,not set,not set,not set,NULL,0,1
117,not set,kubyimba,ku,byimba,#NAME?,to swell,not set,not set,not set,NULL,0,1
118,not set,kubyina,ku,byina,#NAME?,to dance,not set,not set,not set,NULL,0,1
119,not set,kubyiruka,ku,byiruka,#NAME?,to be a young adult (approximately from age 15 to 40),not set,not set,not set,NULL,0,1
120,not set,kubyuka,ku,byuka,#NAME?,"to wake up, arise",not set,not set,not set,NULL,0,1
121,not set,kubyutsa,ku,byutsa,#NAME?,to wake someone up,not set,not set,not set,NULL,0,1
122,not set,guca,gu,ca,#NAME?,"to cut, tear",not set,not set,not set,NULL,0,1
123,not set,gucagagura,gu,cagagura,#NAME?,"to chop up, parse",not set,not set,not set,NULL,0,1
124,not set,gucagata,gu,cagata,#NAME?,to be half filled,not set,not set,not set,NULL,0,1
125,not set,gucana,gu,cana,#NAME?,"to switch on, ignite, light",not set,not set,not set,NULL,0,1
126,not set,gucanwa,gu,canwa,#NAME?,"to be switched on, ignited",not set,not set,not set,NULL,0,1
127,not set,gucapa,gu,capa,#NAME?,to print,not set,not set,not set,NULL,0,1
128,not set,gucapisha,gu,capisha,#NAME?,to have something printed,not set,not set,not set,NULL,0,1
129,not set,guceceka,gu,ceceka,#NAME?,"to be silent, quiet, stop talking",not set,not set,not set,NULL,0,1
130,not set,gucenga,gu,cenga,#NAME?,"to trick, dodge",not set,not set,not set,NULL,0,1
131,not set,gucengera,gu,cengera,#NAME?,"to come to a place undetected, be insurgent, infiltrate",not set,not set,not set,NULL,0,1
132,not set,gucengeza,gu,cengeza,#NAME?,"to insert, cause to penetrate",not set,not set,not set,NULL,0,1
133,not set,gucika,gu,cika,#NAME?,to be torn,not set,not set,not set,NULL,0,1
134,not set,gucikura,gu,cikura,#NAME?,to have a child with your brother's wife if he dies before providing a heir,not set,not set,not set,NULL,0,1
135,not set,gucikwa,gu,cikwa,#NAME?,"to make an error, err, miscalculate",not set,not set,not set,NULL,0,1
136,not set,gucira,gu,cira,#NAME?,to spit,not set,not set,not set,NULL,0,1
137,not set,guciririkanya,gu,ciririkanya,#NAME?,"to bargain, negotiate price",not set,not set,not set,NULL,0,1
138,not set,gucirwa,gu,cirwa,#NAME?,to be spat on,not set,not set,not set,NULL,0,1
139,not set,gucogora,gu,cogora,#NAME?,"to be reduce, less, decreased",not set,not set,not set,NULL,0,1
140,not set,gucogoza,gu,cogoza,#NAME?,"to reduce, lessen, decrease, weaken",not set,not set,not set,NULL,0,1
141,not set,gucomeka,gu,comeka,#NAME?,"to plug in, insert",not set,not set,not set,NULL,0,1
142,not set,gucomekora,gu,comekora,#NAME?,"to unplug, remove",not set,not set,not set,NULL,0,1
143,not set,gucucuma,gu,cucuma,#NAME?,to mash,not set,not set,not set,NULL,0,1
144,not set,gucuga,gu,cuga,#NAME?,to penetrate slightly,not set,not set,not set,NULL,0,1
145,not set,gucugusa,gu,cugusa,#NAME?,to shake something to mix it,not set,not set,not set,NULL,0,1
146,not set,gucukura,gu,cukura,#NAME?,"to dig a hole, mine",not set,not set,not set,NULL,0,1
147,not set,gucumba,gu,cumba,#NAME?,to give off smoke,not set,not set,not set,NULL,0,1
148,not set,gucumbika,gu,cumbika,#NAME?,"to stay temporarily, find lodging",not set,not set,not set,NULL,0,1
149,not set,gucumbikira,gu,cumbikira,#NAME?,to give lodging to,not set,not set,not set,NULL,0,1
150,not set,gucumbukura,gu,cumbukura,#NAME?,to leave a place of lodging,not set,not set,not set,NULL,0,1
151,not set,gucumita,gu,cumita,#NAME?,"to penetrate, pierce",not set,not set,not set,NULL,0,1
152,not set,gucumura,gu,cumura,#NAME?,to sin,not set,not set,not set,NULL,0,1
153,not set,gucunda,gu,cunda,#NAME?,to separate {ikivuguto} into butter ({amavuta}) and buttermilk ({amacunda}),not set,not set,not set,NULL,0,1
154,not set,gucunga,gu,cunga,#NAME?,to manage,not set,not set,not set,NULL,0,1
155,not set,gucungura,gu,cungura,#NAME?,"to pay ransom, redeem",not set,not set,not set,NULL,0,1
156,not set,gucura,gu,cura,#NAME?,to take all of something before other people have a chance,not set,not set,not set,NULL,0,1
157,not set,gucuranga,gu,curanga,#NAME?,to play an instrument,not set,not set,not set,NULL,0,1
158,not set,gucurika,gu,curika,#NAME?,to turn upside down,not set,not set,not set,NULL,0,1
159,not set,gucuruza,gu,curuza,#NAME?,"to do business, trade",not set,not set,not set,NULL,0,1
160,not set,gucuruzwa,gu,curuzwa,#NAME?,to be traded,not set,not set,not set,NULL,0,1
161,not set,gucuya,gu,cuya,#NAME?,to fade,not set,not set,not set,NULL,0,1
162,not set,gucya,gu,cya,cyeye,to change from night to day,not set,not set,not set,NULL,0,1
163,not set,gucyaha,gu,cyaha,#NAME?,to rebuke,not set,not set,not set,NULL,0,1
164,not set,gucyocyora,gu,cyocyora,#NAME?,"to jest, poke fun at",not set,not set,not set,NULL,0,1
165,not set,gucyura,gu,cyura,#NAME?,"to bring back, lead home",not set,not set,not set,NULL,0,1
166,not set,gucyurira,gu,cyurira,#NAME?,to constantly remind someone of their inferiority,not set,not set,not set,NULL,0,1
167,not set,gucyurwa,gu,cyurwa,#NAME?,to be brought back home,not set,not set,not set,NULL,0,1
168,not set,kudaha,ku,daha,#NAME?,to decant,not set,not set,not set,NULL,0,1
169,not set,gudahambana,gu,dahambana,#NAME?,to not bury each other,not set,not set,not set,NULL,0,1
170,not set,gudahemuka,gu,dahemuka,#NAME?,"to be faithful, not fail someone",not set,not set,not set,NULL,0,1
171,not set,gudakemwa,gu,dakemwa,#NAME?,to not be tempted,not set,not set,not set,NULL,0,1
172,not set,kudamarara,ku,damarara,#NAME?,"to lack nothing, have luxury",not set,not set,not set,NULL,0,1
173,not set,kudasesa,ku,dasesa,dasheshe,"to not spend, not disperse",not set,not set,not set,NULL,0,1
174,not set,kudedemanga,ku,dedemanga,#NAME?,"to babble, stammer, stutter",not set,not set,not set,NULL,0,1
175,not set,kudeha,ku,deha,#NAME?,to be lazy,not set,not set,not set,NULL,0,1
176,not set,kudiha,ku,diha,#NAME?,to perform traditional dance,not set,not set,not set,NULL,0,1
177,not set,kudindiza,ku,dindiza,#NAME?,"to hinder, prevent another from advancing",not set,not set,not set,NULL,0,1
178,not set,kudoda,ku,doda,#NAME?,to sew,not set,not set,not set,NULL,0,1
179,not set,kudodwa,ku,dodwa,#NAME?,to be sewed,not set,not set,not set,NULL,0,1
180,not set,kududubiza,ku,dudubiza,#NAME?,"to well up, spring up (liquid)",not set,not set,not set,NULL,0,1
181,not set,kwegama,kw,egama,#NAME?,to be leaning (as person),not set,not set,not set,NULL,0,1
182,not set,kwegamira,kw,egamira,#NAME?,to lean against something (as person),not set,not set,not set,NULL,0,1
183,not set,kwegeka,kw,egeka,#NAME?,to lean or place object against something,not set,not set,not set,NULL,0,1
184,not set,kwegera,kw,egera,#NAME?,"to approach, draw near",not set,not set,not set,NULL,0,1
185,not set,kwegeranya,kw,egeranya,#NAME?,to bring together,not set,not set,not set,NULL,0,1
186,not set,kwegereza,kw,egereza,#NAME?,to bring something to another,not set,not set,not set,NULL,0,1
187,not set,kweguka,kw,eguka,#NAME?,"to straighten up, become straight or upright",not set,not set,not set,NULL,0,1
188,not set,kwegukira,kw,egukira,#NAME?,to keep something straight or upright,not set,not set,not set,NULL,0,1
189,not set,kwegurira,kw,egurira,#NAME?,"to give completely, without conditions",not set,not set,not set,NULL,0,1
190,not set,kwemera,kw,emera,#NAME?,"to accept, agree, admit, be willing",not set,not set,not set,NULL,0,1
191,not set,kwemerera,kw,emerera,#NAME?,"to allow, permit someone, promise",not set,not set,not set,NULL,0,1
192,not set,kwenda,kw,enda,#NAME?,"to commit adultery, fornicate",not set,not set,not set,NULL,0,1
193,not set,kwenga,kw,enga,#NAME?,to brew beer,not set,not set,not set,NULL,0,1
194,not set,kwera,kw,era,#NAME?,to be white,not set,not set,not set,NULL,0,1
195,not set,kwereka,kw,ereka,#NAME?,to show,not set,not set,not set,NULL,0,1
196,not set,kwerekana,kw,erekana,#NAME?,to show to each other,not set,not set,not set,NULL,0,1
197,not set,kwerekera,kw,erekera,#NAME?,to turn toward,not set,not set,not set,NULL,0,1
198,not set,kwerekeza,kw,erekeza,#NAME?,"to direct, cause to turn toward",not set,not set,not set,NULL,0,1
199,not set,kwererana,kw,ererana,#NAME?,"to be very white, very pure",not set,not set,not set,NULL,0,1
200,not set,kwerura,kw,erura,#NAME?,to expose the truth,not set,not set,not set,NULL,0,1
201,not set,kwesa,kw,esa,#NAME?,to fulfil promise or agreement,not set,not set,not set,NULL,0,1
202,not set,kwesura,kw,esura,#NAME?,to demonstrate that one has kept one's promise,not set,not set,not set,NULL,0,1
203,not set,kweza,kw,eza,#NAME?,"to make pure, purify, exonerate, whiten",not set,not set,not set,NULL,0,1
204,not set,kwezwa,kw,ezwa,#NAME?,"to be made pure, purified, exonerated",not set,not set,not set,NULL,0,1
205,not set,gufana,gu,fana,#NAME?,to support,not set,not set,not set,NULL,0,1
206,not set,gufasha,gu,fasha,#NAME?,"to help, assist",not set,not set,not set,NULL,0,1
207,not set,gufashisha,gu,fashisha,#NAME?,"to help, assist by giving",not set,not set,not set,NULL,0,1
208,not set,gufashwa,gu,fashwa,#NAME?,"to be helped, assisted",not set,not set,not set,NULL,0,1
209,not set,gufata,gu,fata,#NAME?,"to take, catch, grasp",not set,not set,not set,NULL,0,1
210,not set,gufatanya,gu,fatanya,#NAME?,"to cooperate, share, partner, join",not set,not set,not set,NULL,0,1
211,not set,gufinda,gu,finda,#NAME?,"to encode, encrypt, hide",not set,not set,not set,NULL,0,1
212,not set,gufindura,gu,findura,#NAME?,"to decode, uncover, decrypt, unhide",not set,not set,not set,NULL,0,1
213,not set,gufora,gu,fora,#NAME?,"to aim at, guess",not set,not set,not set,NULL,0,1
214,not set,gufotora,gu,fotora,#NAME?,to take photograph (photo),not set,not set,not set,NULL,0,1
215,not set,gufotorwa,gu,fotorwa,#NAME?,to be photographed,not set,not set,not set,NULL,0,1
216,not set,gufudika,gu,fudika,#NAME?,"to err, make a mistake",not set,not set,not set,NULL,0,1
217,not set,gufunga,gu,funga,#NAME?,"to close, shut, imprison, lock, logout, fast",not set,not set,not set,NULL,0,1
218,not set,gufungana,gu,fungana,#NAME?,to be narrow,not set,not set,not set,NULL,0,1
219,not set,gufunguka,gu,funguka,#NAME?,"to be open, unlocked",not set,not set,not set,NULL,0,1
220,not set,gufungura,gu,fungura,#NAME?,to open,not set,not set,not set,NULL,0,1
221,not set,gufungurwa,gu,fungurwa,#NAME?,to be opened,not set,not set,not set,NULL,0,1
222,not set,gufungwa,gu,fungwa,#NAME?,"to be closed, shut, imprisoned, locked",not set,not set,not set,NULL,0,1
223,not set,gufunyanga,gu,funyanga,#NAME?,"to knead (bread), kick in the womb (baby)",not set,not set,not set,NULL,0,1
224,not set,gufura,gu,fura,#NAME?,to wash clothes,not set,not set,not set,NULL,0,1
225,not set,kugaba,ku,gaba,#NAME?,"to give, deploy, put forth",not set,not set,not set,NULL,0,1
226,not set,kugabanuka,ku,gabanuka,#NAME?,"to be diminished, reduced, decreased",not set,not set,not set,NULL,0,1
227,not set,kugabanura,ku,gabanura,#NAME?,"to reduce, lessen, decrease, weaken something",not set,not set,not set,NULL,0,1
228,not set,kugabanya,ku,gabanya,#NAME?,"to divide, allot, reduce",not set,not set,not set,NULL,0,1
229,not set,kugabanyika,ku,gabanyika,#NAME?,"to be divided, allotted, reduced",not set,not set,not set,NULL,0,1
230,not set,kugabiza,ku,gabiza,#NAME?,"to turn someone over to police, report on, inform on",not set,not set,not set,NULL,0,1
231,not set,kugaburira,ku,gaburira,#NAME?,"to feed, give food",not set,not set,not set,NULL,0,1
232,not set,kugaburirwa,ku,gaburirwa,#NAME?,"to be fed, given food",not set,not set,not set,NULL,0,1
233,not set,kugaga,ku,gaga,#NAME?,"to spoil, be spoiled (food)",not set,not set,not set,NULL,0,1
234,not set,kugagara,ku,gagara,#NAME?,"to become stiff, stiffen",not set,not set,not set,NULL,0,1
235,not set,kugagaza,ku,gagaza,#NAME?,"to make stiff, stiffen",not set,not set,not set,NULL,0,1
236,not set,kugamba,ku,gamba,#NAME?,to talk,not set,not set,not set,NULL,0,1
237,not set,kugambana,ku,gambana,#NAME?,to betray,not set,not set,not set,NULL,0,1
238,not set,kugambirira,ku,gambirira,#NAME?,"to decide, determine, plan, plot, be intent",not set,not set,not set,NULL,0,1
239,not set,kugana,ku,gana,#NAME?,"to go forward, advance, proceed",not set,not set,not set,NULL,0,1
240,not set,kuganira,ku,ganira,#NAME?,"to chat, converse, discuss",not set,not set,not set,NULL,0,1
241,not set,kuganya,ku,ganya,#NAME?,"to moan, groan, wail, grieve, lament",not set,not set,not set,NULL,0,1
242,not set,kuganyira,ku,ganyira,#NAME?,to complain,not set,not set,not set,NULL,0,1
243,not set,kuganza,ku,ganza,#NAME?,"to conquer, utterly defeat, rout",not set,not set,not set,NULL,0,1
244,not set,kuganzwa,ku,ganzwa,#NAME?,"to be conquered, utterly defeated",not set,not set,not set,NULL,0,1
245,not set,kugaragara,ku,garagara,#NAME?,"to be visible, clear, obvious, evident",not set,not set,not set,NULL,0,1
246,not set,kugaragaza,ku,garagaza,#NAME?,"to make visible, clear, obvious",not set,not set,not set,NULL,0,1
247,not set,kugaragazwa,ku,garagazwa,#NAME?,"to be made visible, clear, obvious",not set,not set,not set,NULL,0,1
248,not set,kugarama,ku,garama,#NAME?,to lie on one's back,not set,not set,not set,NULL,0,1
249,not set,kugaruka,ku,garuka,#NAME?,to return here,not set,not set,not set,NULL,0,1
250,not set,kugashya,ku,gashya,#NAME?,"to row, paddle",not set,not set,not set,NULL,0,1
251,not set,kugaya,ku,gaya,#NAME?,"to be ungrateful, unappreciative",not set,not set,not set,NULL,0,1
252,not set,kugemura,ku,gemura,#NAME?,to bring food,not set,not set,not set,NULL,0,1
253,not set,kugemurira,ku,gemurira,#NAME?,to bring food to someone,not set,not set,not set,NULL,0,1
254,not set,kugemurirwa,ku,gemurirwa,#NAME?,to be brought food,not set,not set,not set,NULL,0,1
255,not set,kugena,ku,gena,#NAME?,"to plan for, decide, assign",not set,not set,not set,NULL,0,1
256,not set,kugenda,ku,genda,#NAME?,"to go, leave, walk",not set,not set,not set,NULL,0,1
257,not set,kugendagenda,ku,gendagenda,#NAME?,to walk about,not set,not set,not set,NULL,0,1
258,not set,kugendana,ku,gendana,#NAME?,"to go together, accompany, escort",not set,not set,not set,NULL,0,1
259,not set,kugendanwa,ku,gendanwa,#NAME?,"to be accompanied, escorted",not set,not set,not set,NULL,0,1
260,not set,kugenera,ku,genera,#NAME?,to allocate role or thing to a person,not set,not set,not set,NULL,0,1
261,not set,kugenga,ku,genga,#NAME?,"to legislate, govern",not set,not set,not set,NULL,0,1
262,not set,kugengarara,ku,gengarara,#NAME?,"to become wide, widespread",not set,not set,not set,NULL,0,1
263,not set,kugenza,ku,genza,#NAME?,"to demonstrate, show how, do",not set,not set,not set,NULL,0,1
264,not set,kugenzereza,ku,genzereza,#NAME?,to do something in specific way for someone,not set,not set,not set,NULL,0,1
265,not set,kugenzura,ku,genzura,#NAME?,to investigate,not set,not set,not set,NULL,0,1
266,not set,kugera,ku,gera,#NAME?,"to reach, arrive, measure",not set,not set,not set,NULL,0,1
267,not set,kugerageza,ku,gerageza,#NAME?,"to try, attempt, tempt",not set,not set,not set,NULL,0,1
268,not set,kugereka,ku,gereka,#NAME?,"to place on top of something else, stack, append",not set,not set,not set,NULL,0,1
269,not set,kugerekerana,ku,gerekerana,#NAME?,"to be stacked on each other, be cascading",not set,not set,not set,NULL,0,1
270,not set,kugereranya,ku,gereranya,#NAME?,"to compare, estimate",not set,not set,not set,NULL,0,1
271,not set,kugerwa,ku,gerwa,#NAME?,to be reached,not set,not set,not set,NULL,0,1
272,not set,kugesa,ku,gesa,#NAME?,"to harvest millet, wheat or sorghum",not set,not set,not set,NULL,0,1
273,not set,kugeza,ku,geza,#NAME?,"to end with, reach, until",not set,not set,not set,NULL,0,1
